iter	RMSE
0	112207.9307
1	109079.3128
2	106118.9372
3	103420.9881
4	100773.9561
5	98241.7716
6	96046.34095
7	93971.38702
8	92078.65187
9	90216.98515
10	88401.89623
11	86762.12822
12	85247.46794
13	83877.96733
14	82548.57832
15	81312.74283
16	80198.46757
17	79004.56143
18	78022.20349
19	77087.9107
20	76238.0998
21	75440.52121
22	74673.28378
23	73915.5007
24	73244.17759
25	72611.21484
26	72011.24693
27	71466.47918
28	70957.39028
29	70445.39927
30	69970.18564
31	69490.96658
32	68989.93605
33	68491.35072
34	68120.43372
35	67747.06304
36	67407.57008
37	67054.6369
38	66671.37043
39	66310.1294
40	65970.12366
41	65687.91846
42	65430.26815
43	65160.30167
44	64890.1478
45	64654.94365
46	64392.56443
47	64178.73365
48	63989.77231
49	63617.63031
50	63395.48566
51	63189.10788
52	62926.77885
53	62729.32071
54	62534.75622
55	62393.61708
56	62211.49336
57	62044.03361
58	61882.75444
59	61701.93709
60	61470.31868
61	61357.39843
62	61095.6086
63	60967.67895
64	60695.76219
65	60487.52878
66	60319.80473
67	60178.44548
68	60046.35876
69	59910.97914
70	59789.49072
71	59678.29175
72	59494.86302
73	59372.42345
74	59266.73881
75	59160.29462
76	58974.64709
77	58883.7233
78	58762.36305
79	58646.7161
80	58522.30937
81	58385.11266
82	58306.50605
83	58138.97577
84	58072.83244
85	57976.40879
86	57745.19398
87	57551.22365
88	57425.85421
89	57346.12755
90	57266.66982
91	57186.00097
92	57047.93109
93	56954.0825
94	56873.08113
95	56791.52758
96	56695.99119
97	56581.7824
98	56529.60764
99	56435.75148
100	56349.43575
101	56281.41431
102	56120.81148
103	56044.86112
104	55886.10627
105	55791.77091
106	55697.71694
107	55610.79213
108	55515.07569
109	55409.96028
110	55302.61315
111	55221.38031
112	55107.25442
113	55046.31557
114	54955.69541
115	54859.87728
116	54809.03034
117	54734.76254
118	54629.34014
119	54555.55615
120	54492.55427
121	54444.2781
122	54386.26408
123	54324.28182
124	54255.96642
125	54202.24515
126	54121.46022
127	54057.75683
128	53977.89913
129	53912.02184
130	53870.87157
131	53783.98565
132	53711.30329
133	53657.00924
134	53613.28396
135	53536.12043
136	53496.58196
137	53457.83067
138	53405.79888
139	53347.19639
140	53293.05552
141	53252.21139
142	53157.42259
143	53093.81715
144	53026.58588
145	52990.36865
146	52923.14757
147	52857.91185
148	52822.66193
149	52766.20785
150	52708.94294
151	52656.37319
152	52542.29357
153	52502.14336
154	52461.88196
155	52423.61355
156	52395.21737
157	52363.75086
158	52321.25796
159	52279.52191
160	52243.2518
161	52201.87879
162	52153.46042
163	52118.03291
164	52082.4855
165	51980.43815
166	51900.62283
167	51874.60366
168	51790.0613
169	51739.29269
170	51635.02079
171	51549.90823
172	51519.38359
173	51466.06998
174	51407.2368
175	51370.66762
176	51337.83434
177	51290.10136
178	51251.78263
179	51213.3186
180	51148.48473
181	51097.10359
182	51028.30045
183	50972.68795
184	50944.16805
185	50880.26287
186	50834.74894
187	50795.38206
188	50764.92232
189	50724.1101
190	50670.46186
191	50600.49951
192	50560.07239
193	50509.49471
194	50457.92834
195	50427.23901
196	50387.92958
197	50351.79036
198	50325.38342
199	50296.77176
200	50267.10362
201	50218.53873
202	50189.43665
203	50163.99649
204	50114.32098
205	50045.63669
206	50011.8785
207	49971.11922
208	49893.58605
209	49853.90666
210	49831.68645
211	49798.9058
212	49768.7451
213	49688.12573
214	49642.62402
215	49607.8437
216	49554.58744
217	49506.90886
218	49480.33968
219	49427.69064
220	49389.73205
221	49324.87455
222	49292.29358
223	49266.9545
224	49237.78898
225	49207.28806
226	49167.82493
227	49123.2428
228	49095.34642
229	49054.98336
230	49035.13517
231	49012.98203
232	48965.08504
233	48938.66447
234	48916.89993
235	48854.56984
236	48808.28722
237	48785.13672
238	48749.53725
239	48726.40138
240	48702.18854
241	48661.20866
242	48635.94269
243	48595.35463
244	48546.55094
245	48501.24155
246	48460.98506
247	48443.07549
248	48421.10673
249	48368.16567
250	48328.12078
251	48289.72781
