iter	Passed	Remaining
0	197	98758
1	221	55091
2	225	37380
3	231	28715
4	236	23446
5	241	19892
6	248	17487
7	254	15654
8	259	14130
9	265	12997
10	271	12082
11	277	11296
12	284	10659
13	289	10049
14	295	9551
15	301	9128
16	306	8698
17	313	8384
18	318	8057
19	322	7748
20	331	7565
21	339	7370
22	360	7475
23	367	7283
24	372	7071
25	380	6945
26	387	6780
27	396	6676
28	400	6502
29	405	6352
30	412	6233
31	416	6089
32	420	5957
33	427	5865
34	432	5745
35	437	5633
36	444	5556
37	448	5452
38	453	5360
39	459	5287
40	466	5220
41	472	5149
42	477	5079
43	482	4998
44	487	4927
45	492	4864
46	497	4796
47	502	4728
48	508	4682
49	513	4622
50	518	4563
51	524	4516
52	529	4461
53	534	4412
54	540	4372
55	544	4318
56	549	4267
57	555	4232
58	561	4194
59	565	4144
60	571	4111
61	575	4066
62	579	4021
63	583	3978
64	589	3943
65	593	3902
66	597	3861
67	602	3829
68	606	3790
69	611	3753
70	615	3718
71	622	3700
72	626	3666
73	632	3641
74	637	3614
75	644	3593
76	649	3570
77	654	3538
78	661	3526
79	665	3496
80	669	3465
81	675	3445
82	680	3416
83	685	3393
84	690	3370
85	694	3344
86	700	3325
87	706	3307
88	711	3286
89	716	3265
90	722	3248
91	728	3229
92	733	3212
93	738	3191
94	742	3167
95	747	3146
96	753	3128
97	757	3107
98	761	3083
99	766	3065
100	771	3047
101	776	3028
102	781	3012
103	786	2996
104	791	2978
105	797	2965
106	803	2951
107	808	2933
108	812	2916
109	817	2896
110	822	2883
111	827	2867
112	832	2849
113	837	2835
114	841	2817
115	846	2802
116	852	2789
117	856	2774
118	861	2758
119	867	2746
120	871	2730
121	876	2714
122	880	2698
123	885	2684
124	889	2668
125	894	2654
126	898	2639
127	903	2624
128	907	2610
129	911	2595
130	916	2581
131	920	2567
132	925	2553
133	930	2540
134	934	2527
135	938	2512
136	944	2501
137	950	2492
138	954	2479
139	959	2467
140	963	2454
141	968	2441
142	972	2428
143	977	2415
144	983	2407
145	987	2393
146	994	2387
147	1000	2378
148	1004	2366
149	1009	2356
150	1017	2352
151	1022	2341
152	1027	2329
153	1033	2321
154	1038	2310
155	1042	2299
156	1049	2292
157	1054	2281
158	1058	2269
159	1064	2261
160	1068	2250
161	1074	2240
162	1079	2231
163	1084	2221
164	1089	2211
165	1095	2204
166	1100	2193
167	1105	2185
168	1112	2178
169	1123	2181
170	1129	2174
171	1134	2163
172	1139	2154
173	1146	2147
174	1151	2138
175	1156	2128
176	1161	2120
177	1166	2110
178	1172	2103
179	1177	2092
180	1181	2081
181	1186	2072
182	1190	2061
183	1194	2050
184	1198	2040
185	1203	2031
186	1207	2021
187	1211	2011
188	1217	2003
189	1222	1994
190	1227	1985
191	1232	1977
192	1237	1968
193	1242	1959
194	1246	1950
195	1253	1943
196	1259	1936
197	1263	1927
198	1267	1917
199	1273	1910
200	1277	1900
201	1282	1891
202	1286	1882
203	1291	1873
204	1295	1864
205	1300	1856
206	1305	1847
207	1309	1838
208	1314	1830
209	1319	1822
210	1324	1814
211	1329	1805
212	1334	1798
213	1340	1791
214	1345	1783
215	1349	1774
216	1356	1769
217	1360	1759
218	1365	1751
219	1369	1743
220	1374	1734
221	1378	1726
222	1383	1718
223	1387	1710
224	1391	1701
225	1396	1692
226	1400	1684
227	1405	1676
228	1409	1667
229	1414	1660
230	1419	1652
231	1423	1644
232	1428	1636
